occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.171,0.171,0.0,0.0,0.0,0.0,0.395,0.556,0.556,0.0,0.0,0.0831,0,0
0.8,0.209,0.209,0.0,0.0,0.0,0.0,0.418,0.594,0.594,0.0,0.0,0.312,0,0
0.8,0.209,0.209,0.0,0.0,0.0,0.0,0.418,0.594,0.594,0.0,0.0,0.0,0,0
0.8,0.209,0.209,0.0,0.0,0.0,0.0,0.418,0.594,0.594,0.0,0.0,0.0839,0,0
0.8,0.209,0.209,0.0,0.0,0.0,0.0,0.418,0.594,0.594,0.0,0.0,0.294,0,0
0.8,0.22,0.22,0.0,0.0,0.0,0.0,0.345,0.601,0.601,0.0,0.0,0.0,0,0
0.8,0.22,0.22,0.0,0.0,0.0,0.0,0.345,0.601,0.601,0.0,0.0,0.142,0,0
0.8,0.305,0.305,0.0,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.061,0,0
0.8,0.305,0.305,0.4,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.0,0,0
0.6,0.225,0.225,0.6,0.0,0.0,0.0,0.283,0.601,0.601,0.0,0.0,0.0438,0,0
0.6,0.225,0.225,0.0,0.0,0.0,0.0,0.283,0.601,0.601,0.0,0.0,0.298,0,0
0.6,0.225,0.225,0.0,0.0,0.0,0.0,0.283,0.601,0.601,0.0,0.0,0.0,0,0
0.6,0.225,0.225,0.0,0.0,0.0,0.0,0.283,0.601,0.601,0.0,0.0,0.087,0,0
0.6,0.305,0.305,0.0,0.0,0.0,0.0,0.304,0.669,0.669,0.0,0.0,0.305,0,0
0.6,0.305,0.305,0.0,0.0,0.0,0.0,0.304,0.669,0.669,0.0,0.0,0.0,0,0
